A,CA,CV,DE,DP,DS,FC,FD,FF,FS,FT,G,GC,GS,I,PC,PP,PS,SG,V,apelido,apelido_abreviado,atleta_id,clube_id,clube_nome,entrou_em_campo,foto,jogos_num,media_num,minimo_para_valorizar,nome,pontos_num,posicao_id,preco_num,rodada_id,slug,status_id,temporada,variacao_num
,,,2.0,,,,,,1.0,,,,1.0,,,,,,,Fábio,Fábio,37656,266,FLU,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLU/FORMATO.png,1,2.1,,Fábio Deivson Lopes Maciel,2.1,1,10.55,1,fabio,7,2026,-1.45
,,,,,,1.0,,4.0,5.0,,,,,1.0,,,,,,Hulk,Hulk,39148,282,CAM,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAM/FORMATO.png,1,5.3,,Givanildo Vieira de Souza,5.3,5,14.95,1,hulk,7,2026,-1.05
,1.0,,,,1.0,2.0,,,,,,,,,,,,,,Alan Franco,A. Franco,39656,282,CAM,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAM/FORMATO.png,1,-0.1,,Alan Steven Franco Palma,-0.1,4,5.69,1,alan-franco,7,2026,-1.31
,,,,,,,,,,,,,,,,,,,1.0,Vagner Mancini,V. Mancini,39850,280,RBB,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/RBB/FORMATO.png,1,8.07,,Vagner Carmo Mancini,8.07,6,6.92,1,vagner-mancini,7,2026,1.92
,,,,,,,,,,,,,,,,,,,,Dorival Júnior,D. Júnior,40990,264,COR,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/COR/FORMATO.png,1,6.6,,Dorival Silvestre Júnior,6.6,6,11.31,1,dorival-junior,6,2026,0.31
,,,,,,1.0,,,,,,,,,,,,,,Willian,Willian,42135,284,GRE,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/GRE/FORMATO.png,1,-0.3,,Willian Borges da Silva,-0.3,4,4.8,1,willian,6,2026,-1.2
,,,,,,,,1.0,,,,,,,,,,,,Osvaldo,Osvaldo,42222,287,VIT,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/VIT/FORMATO.png,1,0.8,,Osvaldo Lourenço Filho,0.8,5,4.37,1,osvaldo,6,2026,-0.63
,,,1.0,,,,,,,,,,4.0,,,,,,,Cássio,Cássio,42234,283,CRU,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,1,-2.7,,Cássio Roberto Ramos,-2.7,1,9.69,1,cassio,7,2026,-3.31
,,,,,1.0,2.0,,,,,,,,,,,,,,Fagner,Fagner,42500,283,CRU,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,1,0.9,,Fagner Conserva Lemos,0.9,2,6.04,1,fagner,6,2026,-0.96
,,,,,,,,,,,,,,,,,,,,Tite,Tite,45125,283,CRU,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,1,1.37,,Adenor Leonardo Bachi,1.37,6,10.3,1,tite,7,2026,-1.7
,,,,,,,,,,,,,,,,,,,,Gabriel Leite,G. Leite,50742,294,CFC,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CFC/FORMATO.png,0,0.0,,Gabriel Christoni Leite,0.0,1,3.0,1,gabriel-leite,6,2026,0.0
